id,created,text,screen name,name,mention 1,mention 2,hashtag 1,hashtag 2,url 1,url 2,lat,lon,place name,place type
752998220955947008,Tue Jul 12 22:49:00 +0000 2016,Messi and his son rock matching shorts while spending time on a yacht (Photos) https://t.co/N51hJXHXhe,fblackaleem,Farouk Aleem,,,,,http://www.musbizubeat.com/2016/07/messi-son-rock-matching-shorts-spending-time-yacht-photos/,,,,,
752998223120400385,Tue Jul 12 22:49:01 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/BNl7PlV0vi,matthewseliftm1,matthewselift,,,,,http://wp.me/p7ylDY-2W,,,,,
752998225838272513,Tue Jul 12 22:49:01 +0000 2016,RT @mjoanams: O messi é uma 💩 https://t.co/aeLkKwFTQp,pattyfallsback,patty momma CAMPEÕES,mjoanams,,,,https://twitter.com/honeyasking/status/751406595142250496,,,,,
752998227515936768,Tue Jul 12 22:49:02 +0000 2016,Lionel Messi and father to appeal sentences for tax fraud - https://t.co/hOMT00KprT,richardsatondr1,richardsatondri,,,,,http://wp.me/p7ylDY-2W,,,,,
752998229873192960,Tue Jul 12 22:49:02 +0000 2016,"RT @FootWag: Messi buvant la concurrence, avec Madame, toujours aussi sublime. https://t.co/UWIBq69Zef",ValentinVhn,Vhn.8,FootWag,,,,,,,,,
752998229223047169,Tue Jul 12 22:49:02 +0000 2016,"RT @Sportags: Es un avión... Es un tiburón... No.

Es de otro planeta... Si.

Es... Leo Messi. https://t.co/SoiFukN3L7",AgusTupalle,AGUS TUPALLE,Sportags,,,,,,,,,
752998235522867200,Tue Jul 12 22:49:04 +0000 2016,@adam4187 @talkSPORTDrive If they can explain factual reasons why they believe Messi is better then fine. But obviously they can't.,TheOgdogg,The Ogdogg,adam4187,talkSPORTDrive,,,,,,,,
752998236961533953,Tue Jul 12 22:49:04 +0000 2016,@CoolFMNigeria i love Lionel Messi's style of football compared to any other footballer and i am not ashame to say it.  #Nightcafe,UncleDoyen,Darlington,CoolFMNigeria,,Nightcafe,,,,,,,
752998240954355712,Tue Jul 12 22:49:05 +0000 2016,"RT @FootyHumour: ""It's the remix to Ignition,
Euro final edition,
I just won me a trophy,
And Messi's heading to prison""
#CR7Bars https://t…",Justin_Porter12,Justin Porter,FootyHumour,,CR7Bars,,,,,,,
752998243152297985,Tue Jul 12 22:49:05 +0000 2016,"RT @UberFootbalI: Highest Paid Players:

1. Ronaldo (21m)
2. Messi (20m)
3. Hulk (20m)
4. Neymar (19m)
5. Zlatan (16m)
6. Pellé (16m) https…",tylergodin,Cristiano Godinho,UberFootbalI,,,,,,,,,
